itm_id,itm_name,itm_sname,match_code_id,itm_dis_code,mse_id,kty_code,bra_id,itm_ref_flag,comments,long_desc,status_code,status_bdate,itm_name_ml,sys_nc00015$,creation_date,created_by,updated_by,update_date,uni_sal_code,uni_leg_code,uni_sal_val,long_desc_ml,sys_nc00024$,product_class_id,is_standard_pricing,is_special_buy,warranty_id,is_item_display,data_source,like_itm_id,supplier_sugg_like_itm_id,unit_descriptor_code,is_consignment,itm_selling_price_id,is_semi_finished,last_extraction_date,material_content_code,legacy_creation_date,legacy_update_date,itm_selling_rule_id,cons_avail_date,ity_code,do_not_purge,uni_stock_val,emergency_call_type,itm_denomination,itm_commission,itm_price,is_hidden,is_subject_to_compliance,is_to_be_shopped,item_shop_type,order_num,material_composition,itt_code,cur_id,lgcy_item_classification,lgcy_has_parent,tech_bsn_group_id
398,dilma1 398,,,398,,1015,,0,,,21,2015-02-26,,,2015-02-26,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
399,dilma1 399,,,399,,1015,,0,,,21,2015-02-26,,,2015-02-26,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
403,dilma1 403,,,403,,1015,,0,,,21,2015-03-06,,,2015-03-03,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
404,dilma1 404,,,404,,1015,,0,,,2,2015-03-03,,,2015-03-03,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
408,dilma123 408,,,408,,1015,,0,,,2,2015-03-04,,,2015-03-04,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
409,dilma123 409,,,409,,1015,,0,,,2,2015-03-04,,,2015-03-04,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
410,dilma123 410,,,410,,1015,,0,,,2,2015-03-04,,,2015-03-04,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
424,LL 100.00 - 424,,,424,,900,,0,,,21,2015-03-05,,,2015-03-04,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
425,"LL 5,000.00 - 425",,,425,,900,,0,,,21,2015-03-05,,,2015-03-04,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
426,"LL 1,000.00 - 426",,,426,,900,,0,,,21,2015-03-05,,,2015-03-05,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
427,"LL 5,000.00 - 427",,,427,,900,,0,,,21,2015-03-05,,,2015-03-05,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
429,LL 100.00 - 429,,,12999999999999,,900,,0,,,21,2015-03-06,,,2015-03-05,3493,3493,2015-03-05,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
459,cashCards - 459,,,459,,1117,,0,,,21,2015-04-17,,,2015-03-24,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
481,cashCards - 481,,,481,,1117,,0,,,21,2015-04-17,,,2015-04-17,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
484,cashCards - 484,,,484,,1117,,0,,,21,2015-04-17,,,2015-04-17,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
485,cashCards - 485,,,485,,1117,,0,,,21,2015-04-17,,,2015-04-17,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
486,cashCards - 486,,,486,,1117,,0,,,21,2015-04-20,,,2015-04-17,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
487,cashCards - 487,,,487,,1117,,0,,,21,2015-04-20,,,2015-04-17,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
489,123 - 489,,,123,,900,,0,,,21,2015-04-24,,,2015-04-20,6555,3493,2015-04-23,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
7044,Test,,,789440,,900,,0,,,,,,,2025-02-21,,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
490,120 - 490,,,120,,900,,0,,,21,2015-04-20,,,2015-04-20,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
503,cashCards - 503,,,503,,1117,,0,,,21,2015-04-20,,,2015-04-20,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
504,cashCards - 504,,,504,,1117,,0,,,21,2015-04-20,,,2015-04-20,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
505,cashCards - 505,,,505,,1117,,0,,,21,2015-04-20,,,2015-04-20,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
506,cashCards - 506,,,506,,1117,,0,,,21,2015-04-20,,,2015-04-20,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
507,cashCards - 507,,,507,,1117,,0,,,21,2015-04-20,,,2015-04-20,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
509,cashCards - 509,,,509,,1117,,0,,,21,2015-04-20,,,2015-04-20,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
510,cashCards - 510,,,510,,1117,,0,,,21,2015-04-20,,,2015-04-20,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
511,cashCards - 511,,,511,,1117,,0,,,21,2015-04-20,,,2015-04-20,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
512,cashCards - 512,,,512,,1117,,0,,,21,2015-04-20,,,2015-04-20,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
520,cashCards - 520,,,520,,1117,,0,,,21,2015-04-22,,,2015-04-21,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
532,cashCards - 532,,,532,,1117,,0,,,21,2015-10-07,,,2015-04-23,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
537,25 - 537,,,25,,900,,0,,,21,2015-04-28,,,2015-04-23,6555,3493,2015-04-24,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
558,12 - 558,,,12,,900,,0,,,21,2015-04-27,,,2015-04-24,3493,3493,2015-04-24,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
559,52 - 559,,,52,,900,,0,,,21,2015-04-24,,,2015-04-24,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
560,qwe - 560,,,qwe,,900,,0,,,21,2015-04-24,,,2015-04-24,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
566,Day To Day 566,,,566,,1015,,0,,,2,2015-04-29,,,2015-04-29,6553,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
567,Faddoul Services 567,,,567,,1015,,0,,,2,2015-04-29,,,2015-04-29,6553,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
585,cashCards - 585,,,585,,1117,,0,,,2,2015-04-29,,,2015-04-29,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
586,cashCards - 586,,,586,,1117,,0,,,21,2015-04-30,,,2015-04-29,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
597,yho;kl 597,,,597,,1015,,0,,,2,2015-04-30,,,2015-04-30,6553,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
598,89 - 598,,,89,,900,,0,,,21,2015-07-14,,,2015-04-30,6555,6555,2015-04-30,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
601,cashCards - 601,,,601,,1117,,0,,,2,2015-04-30,,,2015-04-30,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
602,sad - 602,,,sad,,900,,0,,,21,2015-07-14,,,2015-04-30,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
603,140 - 603,,,140,,900,,0,,,113,2015-04-27,,,2015-04-30,6555,6974,2016-05-18,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
604,werw - 604,,,werw,,900,,0,,,21,2015-04-30,,,2015-04-30,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
613,56 - 613,,,56,,900,,0,,,113,2015-04-15,,,2015-04-30,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
615,123 - 615,,,123,,900,,0,,,21,2015-05-06,,,2015-05-01,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
616,cashCards - 616,,,616,,1117,,0,,,21,2015-05-01,,,2015-05-01,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
617,cashCards - 617,,,617,,1117,,0,,,21,2015-05-01,,,2015-05-01,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
618,cashCards - 618,,,618,,1117,,0,,,21,2016-05-17,,,2015-05-01,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
619,45 - 619,,,45,,900,,0,,,21,2015-05-06,,,2015-05-04,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
17,17,,,17,,1015,,0,,,21,,,,2015-02-05,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
249,Subagent joli  249,,,249,,1015,,0,,,21,2015-02-18,,,2015-02-13,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
250,Subagent joli  250,,,250,,1015,,0,,,21,2015-02-18,,,2015-02-13,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
264,AHMADDDD 264,,,264,,1015,,0,,,21,2015-02-18,,,2015-02-16,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
278,AHMADDDD 278,,,278,,1015,,0,,,21,2015-02-18,,,2015-02-17,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
337,"LL 5,000.00-337",,,337,,900,,0,,,21,2015-02-20,,,2015-02-18,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
338,test 338,,,338,,1015,,0,,,2,2015-02-18,,,2015-02-18,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
339,Joe Cell 339,,,339,,1015,,0,,,21,2015-02-18,,,2015-02-18,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
340,Joe Cell 340,,,340,,1015,,0,,,21,2015-02-18,,,2015-02-18,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
341,Joe Cell 341,,,341,,1015,,0,,,2,2015-02-18,,,2015-02-18,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
342,Joe Cell 342,,,342,,1015,,0,,,2,2015-02-18,,,2015-02-18,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
343,LL 100.00-343,,,343,,900,,0,,,21,2015-02-20,,,2015-02-18,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
353,LL 100.00 - 353,,,353,,900,,0,,,21,2015-03-06,,,2015-02-20,3493,3493,2015-02-23,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
364,LL 100.00 - 364,,,364,,900,,0,,,21,2015-02-23,,,2015-02-23,3493,3493,2015-02-23,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
395,Subagent joli  395,,,395,,1015,,0,,,2,2015-02-26,,,2015-02-26,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
396,dilma1 396,,,396,,1015,,0,,,21,2015-02-26,,,2015-02-26,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
400,dilma1 400,,,400,,1015,,0,,,21,2015-03-06,,,2015-02-26,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
401,dilma1 401,,,401,,1015,,0,,,21,2015-03-06,,,2015-02-26,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
402,ghtf 402,,,402,,1015,,0,,,2,2015-03-03,,,2015-03-03,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
411,Marie-Rose Site 411,,,411,,1015,,0,,,2,2015-03-04,,,2015-03-04,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
417,Marie-Rose Site 417,,,417,,1015,,0,,,2,2015-03-04,,,2015-03-04,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
418,Marie-Rose Site 418,,,418,,1015,,0,,,2,2015-03-04,,,2015-03-04,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
419,Marie-Rose Site 419,,,419,,1015,,0,,,2,2015-03-04,,,2015-03-04,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
428,"LL 5,000.00 - 428",,,428,,900,,0,,,21,2015-03-05,,,2015-03-05,3493,3493,2015-03-05,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
8,Finance,,,8,,200,,0,,,2,2015-03-13,,,2015-03-13,-53,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
452,simulator - 452,,,452,,1117,,0,,,2,2015-03-20,,,2015-03-20,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
455,simulator - 455,,,455,,1117,,0,,,2,2015-03-20,,,2015-03-20,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
460,Jolibelle Site  460,,,460,,1015,,0,,,2,2015-04-07,,,2015-04-07,6553,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
462,Marie-Rose Site 462,,,462,,1015,,0,,,2,2015-04-13,,,2015-04-13,6554,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
500,cashCards - 500,,,500,,1117,,0,,,21,2015-04-20,,,2015-04-20,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
524,123 - 524,,,123,,900,,0,,,21,2015-07-14,,,2015-04-21,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
528,cashCards - 528,,,528,,1117,,0,,,21,2015-04-22,,,2015-04-22,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
529,cashCards - 529,,,529,,1117,,0,,,21,2015-04-22,,,2015-04-22,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
530,cashCards - 530,,,530,,1117,,0,,,2,2015-04-22,,,2015-04-22,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
582,cashCards - 582,,,582,,1117,,0,,,2,2015-04-29,,,2015-04-29,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
583,cashCards - 583,,,583,,1117,,0,,,2,2015-04-29,,,2015-04-29,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
584,cashCards - 584,,,584,,1117,,0,,,2,2015-04-29,,,2015-04-29,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
600,Jolibelle Sub Site 600,,,600,,1015,,0,,,2,2015-04-30,,,2015-04-30,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
605,56 - 605,,,56,,900,,0,,,21,2015-04-30,,,2015-04-30,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
614,14 - 614,,,14,,900,,0,,,21,2015-10-15,,,2015-04-30,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
620,cashCards - 620,,,620,,1117,,0,,,2,2015-05-04,,,2015-05-04,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
621,cashCards - 621,,,621,,1117,,0,,,2,2015-05-04,,,2015-05-04,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
622,cashCards - 622,,,622,,1117,,0,,,21,2015-09-11,,,2015-05-04,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
623,cashCards - 623,,,623,,1117,,0,,,21,2015-05-04,,,2015-05-04,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
624,cashCards - 624,,,624,,1117,,0,,,21,2015-05-04,,,2015-05-04,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
636,Jolibelle Site  636,,,636,,1015,,0,,,2,2015-05-05,,,2015-05-05,6553,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
637,Jolibelle Site  637,,,637,,1015,,0,,,2,2015-05-05,,,2015-05-05,6553,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
642,a 642,,,642,,1015,,0,,,2,2015-05-07,,,2015-05-07,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
643,123 - 643,,,123,,900,,0,,,21,2015-07-14,,,2015-05-07,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
655,Marie-Rose Site 655,,,655,,1015,,0,,,2,2015-06-29,,,2015-06-29,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
656,Faddoul Services 656,,,656,,1015,,0,,,2,2015-06-29,,,2015-06-29,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
660,G.Njeim Cell 660,,,660,,1015,,0,,,2,2015-06-29,,,2015-06-29,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
661,test 661,,,661,,1015,,0,,,2,2015-06-29,,,2015-06-29,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
673,dilma123 673,,,673,,1015,,0,,,21,2015-06-29,,,2015-06-29,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
674,Gemayel Wooden Doors 674,,,674,,1015,,0,,,21,2015-06-30,,,2015-06-30,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
675,Gemayel Wooden Doors 675,,,675,,1015,,0,,,21,2015-06-30,,,2015-06-30,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
676,Gemayel Wooden Doors 676,,,676,,1015,,0,,,2,2015-06-30,,,2015-06-30,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
677,Gemayel Wooden Doors 677,,,677,,1015,,0,,,2,2015-06-30,,,2015-06-30,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
678,a 678,,,678,,1015,,0,,,21,2015-06-30,,,2015-06-30,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
679,I SMART 679,,,679,,1015,,0,,,2,2015-06-30,,,2015-06-30,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
680,I SMART 680,,,680,,1015,,0,,,2,2015-06-30,,,2015-06-30,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
681,4 H 681,,,681,,1015,,0,,,2,2015-06-30,,,2015-06-30,6554,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
682,Smart Computer 682,,,682,,1015,,0,,,2,2015-06-30,,,2015-06-30,6554,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
683,Apparatus 683,,,683,,1015,,0,,,2,2015-06-30,,,2015-06-30,6554,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
684,Apparatus 684,,,684,,1015,,0,,,2,2015-06-30,,,2015-06-30,6554,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
685,Apparatus 685,,,685,,1015,,0,,,2,2015-06-30,,,2015-06-30,6554,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
686,test 686,,,686,,1015,,0,,,2,2015-06-30,,,2015-06-30,6554,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
688,BoB - Sadat 688,,,688,,1015,,0,,,2,2015-07-07,,,2015-07-07,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
690,E 690,,,690,,1015,,0,,,21,2015-07-08,,,2015-07-08,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
691,12.0 - 691,,,12.0,,900,,0,,,21,2015-09-11,,,2015-07-14,6555,6555,2015-07-21,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
692,3 692,,,692,,1015,,0,,,2,2015-07-23,,,2015-07-23,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
694, JOUNIEH Store 694,,,694,,1015,,0,,,21,2015-10-15,,,2015-08-20,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
696,Site # 2 696,,,696,,1015,,0,,,2,2015-09-25,,,2015-09-25,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
22,22,,,22,,1015,,0,,,21,2015-02-06,,,2015-02-05,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
77,Submarine  77,,,77,,1015,,0,,,21,2015-02-11,,,2015-02-11,6555,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
84,Subagent jolibelle  84,,,84,,1015,,0,,,21,2015-02-18,,,2015-02-11,3493,,,,,,,,,1,0,,,,,,,0,,0,,,,,,,,0,,,,,,0,0,,,,,,,,,
