row_number,transaction_id,transaction_reference,sender_wallet_address,receiver_wallet_address,sender_customer_id,receiver_customer_id,amount,transaction_fee,total_debit_amount,currency_code,status,created_at
"11","e314d655-9661-40c6-868e-f25e1eab7f16","TX_1778167149952_3CFCF27310A8","ORG_WALLET_1778160271252_67D918BA6E84","ORG_WALLET_1778160277948_02E3D888EC83","ORG_f6d121503eec494299f9bf40","ORG_da6ada1190384d80bd40ae29","29.8","0.0298","29.8298","USD","CONFIRMED","2026-05-07T15:19:09.952Z"
"12","2891e404-be02-4db2-ad2c-537aa05e76ce","TX_1778167149956_5A9D63F15B0E","ORG_WALLET_1778160278130_FD9398A28CB7","ORG_WALLET_1778160270916_58F7499D02AE","ORG_663382d38d544ef9b9ebb2c7","ORG_3b0c736419434cb3915d9406","26.59","0.02659","26.61659","USD","CONFIRMED","2026-05-07T15:19:09.956Z"
"13","e321f5fc-7aa8-415a-8cf1-33f38352ec35","TX_1778167149960_D7383E82B1D3","ORG_WALLET_1778160270079_0C0EAE39BC93","WALLET_1778067145106_5F898D69F5F79","ORG_fdc6ce67a3af4909bf689efd","15","23.87","0.02387","23.89387","USD","CONFIRMED","2026-05-07T15:19:09.961Z"
"14","15f143a8-e70a-4a1f-8855-a12fe70c712a","TX_1778167149965_F8A05ECA717F","ORG_WALLET_1778160276248_B929B3B975EE","WALLET_1778153631813_640BB05C64D8D","ORG_10a2a0c34b3b47e3aedbe985","629571","40.6","0.0406","40.6406","USD","CONFIRMED","2026-05-07T15:19:09.965Z"
"15","3a140077-6cbb-47ae-bc55-a576b6fedf95","TX_1778167149969_4405DC0065B5","ORG_WALLET_1778160277532_B90C63AB1C19","ORG_WALLET_1778160271169_01A8D14E09DE","ORG_4fffbe49b22a4f23b2a37682","ORG_5111da2a38544e5f9ff43bf1","32.8","0.0328","32.8328","USD","CONFIRMED","2026-05-07T15:19:09.969Z"
"16","5ecf293d-84f0-4e55-a924-80139c5f2320","TX_1778167149973_8DCE06AF23D4","ORG_WALLET_1778160282882_721F365A8568","ORG_WALLET_1778160271169_01A8D14E09DE","ORG_ca0453f9444845208f60654d","ORG_5111da2a38544e5f9ff43bf1","33.26","0.03326","33.29326","USD","CONFIRMED","2026-05-07T15:19:09.974Z"
"17","edc6ae62-bd41-4d8b-808e-faf1390eeb6a","TX_1778167149978_E32F650D551D","ORG_WALLET_1778160277365_03FDBA4E2E67","ORG_WALLET_1778160272171_3E1E9FC7005B","ORG_4630e3b4b65b4eda89b6f23b","ORG_cf345c7615cd49f19d54be4b","40.12","0.04012","40.16012","USD","CONFIRMED","2026-05-07T15:19:09.978Z"
"18","0c9e9089-433f-43e0-bacd-4f267de18f6e","TX_1778167149983_73CE6E05D86A","WALLET_1778139950788_F2A29AB7B72B7","ORG_WALLET_1778160269349_7AA905F368B7","21","ORG_d960392e058d4b21ae6e9131","34.58","0.03458","34.61458","USD","CONFIRMED","2026-05-07T15:19:09.983Z"
"19","25110ba0-63d8-41ae-ae29-348949efec39","TX_1778167149986_37A369D84112","ORG_WALLET_1778160274850_C8FA65D01C69","ORG_WALLET_1778160271922_7B17C247593D","ORG_9334ac8c5d4b490fa13c098f","ORG_65c1186c01ec473e8828d351","45.98","0.04598","46.02598","USD","CONFIRMED","2026-05-07T15:19:09.986Z"
"20","5f182a7c-cea6-4f52-bf08-85fd4632b2e6","TX_1778167149990_FEF188B52A27","ORG_WALLET_1778160270744_5C3A6545AD72","WALLET_1778066536214_1CCF535AA5CB2","ORG_4a6dba69e91e40eaae01a77f","11","11.28","0.01128","11.29128","USD","CONFIRMED","2026-05-07T15:19:09.990Z"
"21","794dc854-3ee7-4a86-ace1-7fad47b74a1d","TX_1778167149995_7988B0F02A15","ORG_WALLET_1778160271169_01A8D14E09DE","ORG_WALLET_1778160270828_FCD6A452F375","ORG_5111da2a38544e5f9ff43bf1","ORG_6a112b620a3b4d9db1c1b50d","40.09","0.04009","40.13009","USD","CONFIRMED","2026-05-07T15:19:09.995Z"
"22","3efb9350-c9fc-44b3-8168-702ba815ed4d","TX_1778167149999_06113DAE280A","ORG_WALLET_1778160279322_2515D0F54F47","ORG_WALLET_1778160270494_527614AD5ED1","ORG_5d1a9275bc4a4a92b3fa18ae","ORG_52501adb75e9456880834763","36.69","0.03669","36.72669","USD","CONFIRMED","2026-05-07T15:19:09.999Z"
"23","4a4903eb-52ca-402c-a2b9-8cca8a568b6e","TX_1778167150003_975A1A07241B","ORG_WALLET_1778160283294_DD0951E0B2B5","ORG_WALLET_1778160276576_57F1AE36B2AC","ORG_954c8c749d354ee6bf59a4ec","ORG_bebd64d6740044d1bb3a41b9","6.85","0.00685","6.85685","USD","CONFIRMED","2026-05-07T15:19:10.003Z"
"24","dd8d57e3-cfe4-415d-87ad-9ba9ed81e7aa","TX_1778167150007_3287227DDD9A","ORG_WALLET_1778160272597_395AFF437375","ORG_WALLET_1778160273686_674A3BB67D22","ORG_27f72ecdd7eb4a9f89c477ac","ORG_938d73070d6540978566cca4","18.3","0.0183","18.3183","USD","CONFIRMED","2026-05-07T15:19:10.007Z"
"25","0c046530-0532-4c52-a3d1-96bc62bc99e8","TX_1778167150011_C653831DDAB3","ORG_WALLET_1778160275753_082C4EAF7EAE","ORG_WALLET_1778160280229_2A2D74805156","ORG_adf8170288c4481488d92098","ORG_6312f8a7d3254be0a87733a6","17.51","0.01751","17.52751","USD","CONFIRMED","2026-05-07T15:19:10.011Z"
"26","85ab9e66-aea1-4e0b-9c76-e944a81948e2","TX_1778167150015_E4B1D1975D1D","ORG_WALLET_1778160277365_03FDBA4E2E67","WALLET_1778071441355_6612E1BB0599A","ORG_4630e3b4b65b4eda89b6f23b","22","21.32","0.02132","21.34132","USD","CONFIRMED","2026-05-07T15:19:10.015Z"
"27","dbfe04dd-5d3d-40ef-a108-367b354de1eb","TX_1778167150019_B70D02D0F581","ORG_WALLET_1778160280805_22EC8852FE9E","WALLET_1778066885551_3953C6C1EF125","ORG_d3f28c40555a4b4eb89e74ed","12","26.58","0.02658","26.60658","USD","CONFIRMED","2026-05-07T15:19:10.019Z"
"28","e94b4256-6cfd-4371-bc05-a3df2d5e468d","TX_1778167150023_5A795C735FA4","ORG_WALLET_1778160273932_CA183A14D77D","ORG_WALLET_1778160279735_472CEB450301","ORG_8a0e365a49bf4ed392152198","ORG_6575120899be4b2b93a8295a","37.19","0.03719","37.22719","USD","CONFIRMED","2026-05-07T15:19:10.023Z"
"29","26b999cd-440b-4769-a9c1-287a827da76e","TX_1778167150027_91970D36A90B","ORG_WALLET_1778160273359_C48B3E1ED6E4","ORG_WALLET_1778160278570_DC0BF9503FE1","ORG_be93a91b05f04b018a2cc595","ORG_0491778a7f0d4b3396e7c742","24.49","0.02449","24.51449","USD","CONFIRMED","2026-05-07T15:19:10.027Z"
"30","e38f1c6d-5e0a-4211-a09d-75884201121c","TX_1778167150031_0546AAF65835","WALLET_1778067202023_7BFE17ECAE335","WALLET_1778072141107_075D86A2D86CE","16","31","21.86","0.02186","21.88186","USD","CONFIRMED","2026-05-07T15:19:10.031Z"
"31","8fbba880-a17f-4120-bd33-2ed9adc3d95d","TX_1778167150035_68334ED04E53","ORG_WALLET_1778160282456_45B023A9122D","ORG_WALLET_1778160276947_D26E37C2F505","ORG_c6ac8dad23ef42638bc72069","ORG_a9a322e9d1e743aca1161f69","8.24","0.00824","8.24824","USD","CONFIRMED","2026-05-07T15:19:10.035Z"
"32","433a6ebb-1cdf-4a7a-8d4e-b2f2648a4a69","TX_1778167150038_27DDFF661E23","ORG_WALLET_1778160281761_D0E2A46DF0CD","ORG_WALLET_1778160275505_F41736F76EA9","ORG_7346434746a24847bbb306fe","ORG_3e4a83201e5b4f7dbdb74422","39.27","0.03927","39.30927","USD","CONFIRMED","2026-05-07T15:19:10.038Z"
"33","7ee80928-4c6e-41c6-90cc-07e0a3c7d821","TX_1778167150041_4B7E60BC8C61","ORG_WALLET_1778160282456_45B023A9122D","WALLET_1778067139764_D220C5EF78856","ORG_c6ac8dad23ef42638bc72069","13","45.46","0.04546","45.50546","USD","CONFIRMED","2026-05-07T15:19:10.041Z"
"34","30b31a91-5e49-4726-9f51-e93878149b99","TX_1778167150045_33B12236AC6F","WALLET_1778139950788_F2A29AB7B72B7","ORG_WALLET_1778160283458_0920F8B3705D","21","ORG_94651c45d31b407fad86b7ef","41.2","0.0412","41.2412","USD","CONFIRMED","2026-05-07T15:19:10.045Z"
"35","e0a04393-30be-46e5-b8a2-6e9892d047a4","TX_1778167150048_FB1422B6CE89","WALLET_1778067488069_3704C026E691","ORG_WALLET_1778160281399_E2C38644A950","17","ORG_b11bbcf3ec4b4e0680428a05","44.63","0.04463","44.67463","USD","CONFIRMED","2026-05-07T15:19:10.048Z"
"36","469cd026-75aa-40dc-9028-62303e1253f5","TX_1778167150052_913E6FA129E9","ORG_WALLET_1778160276762_EAAF396C2E3C","ORG_WALLET_1778160272855_D00C90A0E963","ORG_dfa5dbd88c9b475bae5822f9","ORG_bae3ca8533f14130b6d9ed30","29.9","0.0299","29.9299","USD","CONFIRMED","2026-05-07T15:19:10.052Z"
"37","83acf1ac-6352-4b57-97e3-4383bce8dcd9","TX_1778167150055_B86FEE3A1431","WALLET_1778071441355_6612E1BB0599A","ORG_WALLET_1778160270327_6C4C9C272F9B","22","ORG_029c24335b3e47f1b1bfb215","34.27","0.03427","34.30427","USD","CONFIRMED","2026-05-07T15:19:10.055Z"
"38","a268291f-730f-44db-9e85-99a22190e9e5","TX_1778167150059_6DE6E193BC77","ORG_WALLET_1778160274932_22FF89952550","ORG_WALLET_1778160278746_7064FF0F96E8","ORG_3028e13c98ca4d07a3b5fa43","ORG_7cd6695ce0d64ff3815c79cb","41.27","0.04127","41.31127","USD","CONFIRMED","2026-05-07T15:19:10.059Z"
"39","3044a865-006d-49e3-a1d0-500cb1b80302","TX_1778167150063_9738E7311B4D","WALLET_1778143333918_F039E75D04FE3","WALLET_1778158164274_EEBF658010844","311287","900476","44.84","0.04484","44.88484","USD","CONFIRMED","2026-05-07T15:19:10.063Z"
"40","c94b712b-c1a2-4882-96bb-a31bf559e36c","TX_1778167150066_B1E8514F908F","ORG_WALLET_1778160273441_F81077FBB190","ORG_WALLET_1778160275919_BDF031F0A6D4","ORG_63cb10b5b1e5475fbd0d95a0","ORG_6e9b7fd7d6a84f5d89e1f07a","42.15","0.04215","42.19215","USD","CONFIRMED","2026-05-07T15:19:10.066Z"
"41","231f876b-655c-4782-8aa7-b7ad22ebdf21","TX_1778167150070_9C61C2CBEDDD","ORG_WALLET_1778160278746_7064FF0F96E8","ORG_WALLET_1778160277036_D88468BE2F0D","ORG_7cd6695ce0d64ff3815c79cb","ORG_602f8a0e45d24e59815b6795","42.1","0.0421","42.1421","USD","CONFIRMED","2026-05-07T15:19:10.070Z"
"42","06ee550f-77dc-44ea-b6eb-85e9c8045ec9","TX_1778167150074_317E2A88F6E7","ORG_WALLET_1778160274180_D68BEDEE7D6D","ORG_WALLET_1778160274766_F1C3DC6076C5","ORG_edd410705d74447cbf477a86","ORG_20a1c457345d4a89afd74ee2","31.37","0.03137","31.40137","USD","CONFIRMED","2026-05-07T15:19:10.074Z"
"43","6a46ec12-4b59-4d17-97fa-7d97b9620657","TX_1778167150077_5B88C6C33045","ORG_WALLET_1778160280396_28AA8E30C40A","ORG_WALLET_1778160280145_1BD0EB49AB57","ORG_445bfea799664a1a85c09e39","ORG_13ab97a389df4a27bdd054a8","28.1","0.0281","28.1281","USD","CONFIRMED","2026-05-07T15:19:10.077Z"
"44","e0b28e5c-2c76-4536-8eff-2ca9aec9ff77","TX_1778167150081_8C960DE5D616","ORG_WALLET_1778160270828_FCD6A452F375","ORG_WALLET_1778160280975_445C3B87B0E4","ORG_6a112b620a3b4d9db1c1b50d","ORG_7afe70881d4b4bf698b08a22","44.01","0.04401","44.05401","USD","CONFIRMED","2026-05-07T15:19:10.082Z"
"45","38169b4c-633c-4a0c-a75f-0d2a288a732d","TX_1778167150086_AA6FD9F27BA6","ORG_WALLET_1778160283046_9BD4F086F512","ORG_WALLET_1778160272855_D00C90A0E963","ORG_4583de686dcd47b699bf4049","ORG_bae3ca8533f14130b6d9ed30","26.39","0.02639","26.41639","USD","CONFIRMED","2026-05-07T15:19:10.086Z"
"46","f364c973-803b-4e64-a973-17344be59945","TX_1778167150090_4F8216447F8B","ORG_WALLET_1778160282882_721F365A8568","ORG_WALLET_1778160272340_1AE5D72A11D5","ORG_ca0453f9444845208f60654d","ORG_85680328ba424fdb8c6f80c4","3.63","0.00363","3.63363","USD","CONFIRMED","2026-05-07T15:19:10.090Z"
"47","a1b5f195-037a-4514-9966-cbbc4db2c81e","TX_1778167150093_CAEAD564A7E7","ORG_WALLET_1778160275423_53316FAFBA7A","ORG_WALLET_1778160278032_16437CB118C2","ORG_3e2627c9b50d4224b7ce732a","ORG_67419309808345279b5259d7","25.87","0.02587","25.89587","USD","CONFIRMED","2026-05-07T15:19:10.093Z"
"48","afb81edd-c21e-4eef-814a-1c606dfaeb71","TX_1778167150097_CD87E81835F1","ORG_WALLET_1778160277948_02E3D888EC83","ORG_WALLET_1778160283706_5010AC071A4D","ORG_da6ada1190384d80bd40ae29","ORG_0562df46bdb2435a9dbe31ce","33.81","0.03381","33.84381","USD","CONFIRMED","2026-05-07T15:19:10.097Z"
"49","ffd9803b-bfc2-4faf-9a5f-eda999361a96","TX_1778167150100_D4E9963BC360","WALLET_1778153906827_07651C59B5DEE","ORG_WALLET_1778160271169_01A8D14E09DE","900473","ORG_5111da2a38544e5f9ff43bf1","43.16","0.04316","43.20316","USD","CONFIRMED","2026-05-07T15:19:10.100Z"
"50","aaaad790-5639-4db3-94bf-406334f01496","TX_1778167150104_A05420FD32A2","ORG_WALLET_1778160283212_04E49AAB0147","ORG_WALLET_1778160274346_C1801622C4F1","ORG_c11a6f2d78c941cea491491c","ORG_eb4457964c8e4d2c85073cbc","46.82","0.04682","46.86682","USD","CONFIRMED","2026-05-07T15:19:10.104Z"
"51","cb9c5e0b-2500-4e88-b51f-6e9d065a9fe0","TX_1778167150107_F61E4C732DC7","WALLET_1778160871693_0EA008B15BECE","WALLET_1778159049528_C73FC1C68B888","900478","900477","37.93","0.03793","37.96793","USD","CONFIRMED","2026-05-07T15:19:10.107Z"
"52","d129d27e-6360-4854-a35d-f1fe9a8e04a6","TX_1778167150110_63F6CA72D025","ORG_WALLET_1778160275753_082C4EAF7EAE","ORG_WALLET_1778160278746_7064FF0F96E8","ORG_adf8170288c4481488d92098","ORG_7cd6695ce0d64ff3815c79cb","49.9","0.0499","49.9499","USD","CONFIRMED","2026-05-07T15:19:10.110Z"
"53","5e547165-7b0b-42f0-88c3-bb4d7d507603","TX_1778167150114_5D9AFF4E1D95","ORG_WALLET_1778160280396_28AA8E30C40A","ORG_WALLET_1778160274599_128BAE8501ED","ORG_445bfea799664a1a85c09e39","ORG_5d7ccd0921bf4a349d193ef4","20.79","0.02079","20.81079","USD","CONFIRMED","2026-05-07T15:19:10.114Z"
"54","9b2aceae-d452-42ff-866e-9646e030d322","TX_1778167150117_7D8782CCD7C3","ORG_WALLET_1778160272171_3E1E9FC7005B","ORG_WALLET_1778160280313_BC5103AB96CB","ORG_cf345c7615cd49f19d54be4b","ORG_383affa12a9d41fba9370e9c","49.51","0.04951","49.55951","USD","CONFIRMED","2026-05-07T15:19:10.117Z"
"55","b73ecc37-9001-4811-b5b8-44628c9b8682","TX_1778167150121_522EAABA11E9","ORG_WALLET_1778160274098_0A5EF90FB47E","ORG_WALLET_1778160271086_EEFE4F412D2E","ORG_a73b423c03aa4e7da5788a37","ORG_21f9c483dfae4315b138bac7","27.84","0.02784","27.86784","USD","CONFIRMED","2026-05-07T15:19:10.121Z"
"56","460186a1-ec3b-40b5-90a1-7e420d92c4b4","TX_1778167150125_52A9C1F70D93","ORG_WALLET_1778160276166_F5F14DB4910B","ORG_WALLET_1778160272683_71FAC55E21B5","ORG_85042eae537c4c1cb51c1e84","ORG_e09e5d36254c4580a291d44a","5.44","0.00544","5.44544","USD","CONFIRMED","2026-05-07T15:19:10.125Z"
"57","bc517684-f24a-4e2a-9be6-58eaacf560e9","TX_1778167150128_073B46F91050","ORG_WALLET_1778160276494_506DC7CD27D4","ORG_WALLET_1778160282284_EC6234CEFA04","ORG_03290d8bceec4c578406b6ff","ORG_5b9400e661504c4f968243c0","19.25","0.01925","19.26925","USD","CONFIRMED","2026-05-07T15:19:10.128Z"
"58","238a6494-4cfa-413b-8893-21d9a2811923","TX_1778167150132_6D988DC93B00","ORG_WALLET_1778160275836_D546B4A6AA4D","ORG_WALLET_1778160268806_57EC325FBE88","ORG_6cca990bda20451bb3b152ba","ORG_6b079307700d496bb62aa72c","31.57","0.03157","31.60157","USD","CONFIRMED","2026-05-07T15:19:10.132Z"
"59","d0ae9aec-5f10-442c-9ec9-5d284f1c4c0f","TX_1778167150136_E073D45EF39B","ORG_WALLET_1778160281228_62BF0507BF95","ORG_WALLET_1778160273021_441FA524915E","ORG_875af1ba8fb94bc4b83fad9f","ORG_a71d85d229504155adb16888","12.62","0.01262","12.63262","USD","CONFIRMED","2026-05-07T15:19:10.136Z"
"60","c488c453-330c-4a31-b47b-1f80f1d726d8","TX_1778167150139_EBEDAF5E7B7F","ORG_WALLET_1778160275671_04596EB26676","WALLET_1778139950788_F2A29AB7B72B7","ORG_cb4afdce1d614e709ea35423","21","15.09","0.01509","15.10509","USD","CONFIRMED","2026-05-07T15:19:10.139Z"
"61","5e9c3b1c-70fb-4925-be4a-de36ce2de98e","TX_1778167150142_93D06B828206","ORG_WALLET_1778160283128_A2CB665268B0","ORG_WALLET_1778160276854_01DB22D26B59","ORG_7eb988a91e6c46b0b85aae07","ORG_96abde570dc346cb8fa1c4f8","1.86","0.00186","1.86186","USD","CONFIRMED","2026-05-07T15:19:10.142Z"
"62","34824fb2-cbea-4308-a996-6406b6751ba3","TX_1778167150145_3ADF1EDE9606","WALLET_1778139950788_F2A29AB7B72B7","ORG_WALLET_1778160272512_224C2AE61622","21","ORG_826d10ed54ab49a0a02481cd","44.83","0.04483","44.87483","USD","CONFIRMED","2026-05-07T15:19:10.145Z"
"63","d422b848-73a3-4198-af1f-b2af59853fb0","TX_1778167150148_FFB87FBDC71A","ORG_WALLET_1778160276166_F5F14DB4910B","ORG_WALLET_1778160273603_8FD5638257B0","ORG_85042eae537c4c1cb51c1e84","ORG_b209686058a44bbcae11cd83","37.95","0.03795","37.98795","USD","CONFIRMED","2026-05-07T15:19:10.148Z"
"64","d095fb92-9d98-403a-a819-6b19900409b8","TX_1778167150152_447C715CC816","ORG_WALLET_1778160281761_D0E2A46DF0CD","ORG_WALLET_1778160282622_50BBD01DB0E0","ORG_7346434746a24847bbb306fe","ORG_7165931dc11d448fbc2f29f4","39.71","0.03971","39.74971","USD","CONFIRMED","2026-05-07T15:19:10.152Z"
"65","fdec826d-e80b-4ba5-9437-dd34d61789ee","TX_1778167150155_1F115114FC45","WALLET_1778067202023_7BFE17ECAE335","ORG_WALLET_1778160278829_27222539D362","16","ORG_3f069e8026b3411fb09ee1b9","22.48","0.02248","22.50248","USD","CONFIRMED","2026-05-07T15:19:10.155Z"
"66","ecceefa0-aaaa-4838-9e11-8f36b037cbbf","TX_1778167150158_7AAF912D34CE","ORG_WALLET_1778160281313_EE9CB4E26C8C","ORG_WALLET_1778160270662_8E867A418388","ORG_aa878780244041f0ae807e6b","ORG_9497e6ea72dd46399b5fce26","10.43","0.01043","10.44043","USD","CONFIRMED","2026-05-07T15:19:10.158Z"
"67","ebdf6976-21f9-4f87-a946-2e5a5ae33dfb","TX_1778167150162_EA1C6ADF6F19","ORG_WALLET_1778160280805_22EC8852FE9E","ORG_WALLET_1778160271837_0C82F2D95DA1","ORG_d3f28c40555a4b4eb89e74ed","ORG_b2c0e26bc8e4438380730970","49.07","0.04907","49.11907","USD","CONFIRMED","2026-05-07T15:19:10.162Z"
"68","45923560-35a6-4efd-b89f-1c57f9c8b022","TX_1778167150166_45B9B953E52B","ORG_WALLET_1778160275341_7016E58B21CB","ORG_WALLET_1778160270744_5C3A6545AD72","ORG_ba1f38d427344ade8b8000aa","ORG_4a6dba69e91e40eaae01a77f","40.77","0.04077","40.81077","USD","CONFIRMED","2026-05-07T15:19:10.166Z"
"69","0afb30a5-cb28-4409-b07e-e57d19470b00","TX_1778167150170_2A7B2E4CB85D","ORG_WALLET_1778160283458_0920F8B3705D","ORG_WALLET_1778160279982_912AFF7751A5","ORG_94651c45d31b407fad86b7ef","ORG_0516915df7d441f2b287f550","31.71","0.03171","31.74171","USD","CONFIRMED","2026-05-07T15:19:10.171Z"
"70","c18be1bd-697e-442d-a98e-04ef8f19077b","TX_1778167150175_EF1B601DE715","ORG_WALLET_1778160273021_441FA524915E","ORG_WALLET_1778160281761_D0E2A46DF0CD","ORG_a71d85d229504155adb16888","ORG_7346434746a24847bbb306fe","15.61","0.01561","15.62561","USD","CONFIRMED","2026-05-07T15:19:10.175Z"
"71","3ccfd34a-ac54-434c-bb8a-6997f380dd87","TX_1778167150179_7DD0F969307C","ORG_WALLET_1778160277696_1E4BED96895A","WALLET_1778154305518_2FC481B712D68","ORG_98c417cc5a45471cb8d8400e","900474","35.36","0.03536","35.39536","USD","CONFIRMED","2026-05-07T15:19:10.180Z"
"72","9345f09d-1338-47ca-adae-0d16d25e75bb","TX_1778167150184_1D1C55CFF5E1","ORG_WALLET_1778160281228_62BF0507BF95","ORG_WALLET_1778160283046_9BD4F086F512","ORG_875af1ba8fb94bc4b83fad9f","ORG_4583de686dcd47b699bf4049","17.63","0.01763","17.64763","USD","CONFIRMED","2026-05-07T15:19:10.185Z"
"73","8b36f5ca-d9aa-4cea-a4ab-4347e7adf203","TX_1778167150189_0D8BAE1059E8","ORG_WALLET_1778160281672_AC2B16ED3152","ORG_WALLET_1778160274346_C1801622C4F1","ORG_ca5644b10bba4f4bb4d442cd","ORG_eb4457964c8e4d2c85073cbc","10.37","0.01037","10.38037","USD","CONFIRMED","2026-05-07T15:19:10.189Z"
"74","404fdc98-6c43-4d84-8b0b-7f774ab7bf83","TX_1778167150192_EDA747121244","ORG_WALLET_1778160280805_22EC8852FE9E","ORG_WALLET_1778160279817_5EFE6A9486F3","ORG_d3f28c40555a4b4eb89e74ed","ORG_9ba2d7575584423586bec8a3","47.39","0.04739","47.43739","USD","CONFIRMED","2026-05-07T15:19:10.192Z"
"75","a33889df-e7a7-452a-82f9-81d04a53725b","TX_1778167150198_D81321580197","ORG_WALLET_1778160270244_8FA5322D5953","ORG_WALLET_1778160277036_D88468BE2F0D","ORG_2a4b739bfe4b4248b59c8c60","ORG_602f8a0e45d24e59815b6795","42.95","0.04295","42.99295","USD","CONFIRMED","2026-05-07T15:19:10.198Z"
"76","2c3f8cee-f4f4-49d2-bcce-b1f3dadc2cbb","TX_1778167150201_E235C40FF758","ORG_WALLET_1778160278996_A269C7AD8721","ORG_WALLET_1778160272340_1AE5D72A11D5","ORG_1f8d33ab9ab44b54bd42620f","ORG_85680328ba424fdb8c6f80c4","20.85","0.02085","20.87085","USD","CONFIRMED","2026-05-07T15:19:10.201Z"
"77","de0193df-76d0-4b73-b19e-7353a85e8d74","TX_1778167150205_44C0E967C1BA","ORG_WALLET_1778160272087_2324BE187015","ORG_WALLET_1778160279078_A5374ADC2320","ORG_1947e9ee30de4becb2794d04","ORG_c4b9ddb3c679416b903f4368","26.61","0.02661","26.63661","USD","CONFIRMED","2026-05-07T15:19:10.205Z"
"78","fc766275-5d61-4948-ba21-5e94c60aa93e","TX_1778167150209_3FE94FF882C0","ORG_WALLET_1778160278656_2AA9E6362FDE","ORG_WALLET_1778160278829_27222539D362","ORG_8121c92f968d451094666b4d","ORG_3f069e8026b3411fb09ee1b9","31.19","0.03119","31.22119","USD","CONFIRMED","2026-05-07T15:19:10.209Z"
