row_number,transaction_id,transaction_reference,sender_wallet_address,receiver_wallet_address,sender_customer_id,receiver_customer_id,amount,currency_code,status,created_at
"11","9dbe1e25-8bc3-4b3e-9f8f-cd9b8b307f33","TX_1778166919479_ABAEF0A0AA60","ORG_WALLET_1778160275178_6BFE22ABCAE0","WALLET_1778139950788_F2A29AB7B72B7","ORG_f8763b870e3945858dab1964","21","15.58","USD","CONFIRMED","2026-05-07T15:15:19.479Z"
"12","d74d2fa4-65de-4638-b59a-fa60dfacd3f7","TX_1778166919483_FAA70228493D","ORG_WALLET_1778160275423_53316FAFBA7A","ORG_WALLET_1778160275919_BDF031F0A6D4","ORG_3e2627c9b50d4224b7ce732a","ORG_6e9b7fd7d6a84f5d89e1f07a","49.02","USD","CONFIRMED","2026-05-07T15:15:19.483Z"
"13","31cb7a1a-33b5-46ad-aa89-39fe6c3d252d","TX_1778166919487_9E683F0D5971","ORG_WALLET_1778160277365_03FDBA4E2E67","WALLET_1778072141107_075D86A2D86CE","ORG_4630e3b4b65b4eda89b6f23b","31","32.98","USD","CONFIRMED","2026-05-07T15:15:19.488Z"
"14","427f5219-390d-4da3-8690-12c071ee10dd","TX_1778166919492_F8F131F36D25","ORG_WALLET_1778160278829_27222539D362","ORG_WALLET_1778160281146_B8874C5AC610","ORG_3f069e8026b3411fb09ee1b9","ORG_ae90e61e64ff48a089d9a554","6.1","USD","CONFIRMED","2026-05-07T15:15:19.492Z"
"15","60dfb9d9-955d-45ca-9932-0198cda39358","TX_1778166919497_877C7B8B2CB5","ORG_WALLET_1778160281587_7507D0163D18","ORG_WALLET_1778160269059_6971AFBA84D6","ORG_0130bc4c8a4f483db60b9a07","ORG_2da30634595b4a878b928a3b","4.09","USD","CONFIRMED","2026-05-07T15:15:19.497Z"
"16","3ceb0750-48c1-48ce-a497-2f29a2e6a1b2","TX_1778166919501_E8188A3A387A","ORG_WALLET_1778160269455_E26051935907","ORG_WALLET_1778160273603_8FD5638257B0","ORG_631c51145ae141e2a709d288","ORG_b209686058a44bbcae11cd83","42.96","USD","CONFIRMED","2026-05-07T15:15:19.501Z"
"17","a410595f-fccf-4957-9eb4-2bca5aba3dba","TX_1778166919506_E2B5EE0E60C3","ORG_WALLET_1778160280641_07749B20BDD1","ORG_WALLET_1778160271336_332D39319141","ORG_72acde45a0c54024bfa80e9a","ORG_aac3beae4c654f7f84f04e44","25.44","USD","CONFIRMED","2026-05-07T15:15:19.506Z"
"18","0f59538a-0d1a-4373-900c-a3e7a0994628","TX_1778166919510_619610A32B4D","WALLET_1778153631813_640BB05C64D8D","ORG_WALLET_1778160280723_76881A40B86C","629571","ORG_ffb1b562e6c24779bc734630","21.08","USD","CONFIRMED","2026-05-07T15:15:19.510Z"
"19","46b0124c-0d76-49b2-ad4d-2e3c9b80b556","TX_1778166919514_348291DFD1A7","ORG_WALLET_1778160272004_218D14D9D927","ORG_WALLET_1778160278996_A269C7AD8721","ORG_9e0677e9cdda4332a318f099","ORG_1f8d33ab9ab44b54bd42620f","44.08","USD","CONFIRMED","2026-05-07T15:15:19.514Z"
"20","b20bab62-2656-4900-8b15-a9d66be87bb3","TX_1778166919518_D45CD79D8149","ORG_WALLET_1778160272938_24D08982CD31","WALLET_1778153747020_1ECAE0E292C2A","ORG_1e01824ab59a4e68ae11f7a3","554070","17","USD","CONFIRMED","2026-05-07T15:15:19.518Z"
"21","535f7e42-2d9b-4424-b7ac-663177dd0c82","TX_1778166919522_3CD7CD82115E","ORG_WALLET_1778160276248_B929B3B975EE","WALLET_1778154970895_D82B934E18EF1","ORG_10a2a0c34b3b47e3aedbe985","900475","2.04","USD","CONFIRMED","2026-05-07T15:15:19.522Z"
"22","8c551138-0b46-4514-a22d-8e65d1438984","TX_1778166919527_CDBE5A0415DC","ORG_WALLET_1778160275423_53316FAFBA7A","ORG_WALLET_1778160279078_A5374ADC2320","ORG_3e2627c9b50d4224b7ce732a","ORG_c4b9ddb3c679416b903f4368","34.7","USD","CONFIRMED","2026-05-07T15:15:19.527Z"
"23","003d1376-ba8d-43ed-b3bc-f6f5c228f339","TX_1778166919531_695C1D87675C","ORG_WALLET_1778160273359_C48B3E1ED6E4","ORG_WALLET_1778160278386_D640F5E98EC7","ORG_be93a91b05f04b018a2cc595","ORG_ab9877b6b83245749a5629bb","29.11","USD","CONFIRMED","2026-05-07T15:15:19.531Z"
"24","2c749556-bab2-4991-b6e0-c483584ee0b0","TX_1778166919535_9CD760C1E39B","ORG_WALLET_1778160275014_18D1A4CDCE47","ORG_WALLET_1778160272769_FD7534EDEC66","ORG_1279f3ac8c8345a9bd0d57cf","ORG_ac4284f48d50479c9cabbf1e","18.97","USD","CONFIRMED","2026-05-07T15:15:19.535Z"
"25","027ef915-9744-494f-969a-f6a48b1fc657","TX_1778166919540_8376BE9667D9","ORG_WALLET_1778160280975_445C3B87B0E4","ORG_WALLET_1778160280805_22EC8852FE9E","ORG_7afe70881d4b4bf698b08a22","ORG_d3f28c40555a4b4eb89e74ed","44.83","USD","CONFIRMED","2026-05-07T15:15:19.540Z"
"26","3f8c6baf-abe5-4857-8d85-c70a6af290d4","TX_1778166919544_096F36C3C82B","ORG_WALLET_1778160282964_AC07329D4648","ORG_WALLET_1778160280805_22EC8852FE9E","ORG_3265ae8f978f4b7d9d6e5fa9","ORG_d3f28c40555a4b4eb89e74ed","18.6","USD","CONFIRMED","2026-05-07T15:15:19.545Z"
"27","a19c931a-d080-4cab-9631-34befa0f4043","TX_1778166919548_D4169CBEDC32","ORG_WALLET_1778160279487_4104A58B1146","ORG_WALLET_1778160283458_0920F8B3705D","ORG_c15b8bf2293b4ea39f843947","ORG_94651c45d31b407fad86b7ef","41.29","USD","CONFIRMED","2026-05-07T15:15:19.549Z"
"28","cbc28ba6-841b-44d9-a76f-b2bcd4dc040c","TX_1778166919552_7A72E0A9245F","ORG_WALLET_1778160270327_6C4C9C272F9B","ORG_WALLET_1778160271754_0357D97220C1","ORG_029c24335b3e47f1b1bfb215","ORG_25fbaf76c088457a8422b979","31.71","USD","CONFIRMED","2026-05-07T15:15:19.552Z"
"29","ddaaaf94-e64d-47eb-a241-c85466e45b2d","TX_1778166919556_0C108FF8BB40","ORG_WALLET_1778160273603_8FD5638257B0","ORG_WALLET_1778160271837_0C82F2D95DA1","ORG_b209686058a44bbcae11cd83","ORG_b2c0e26bc8e4438380730970","9.4","USD","CONFIRMED","2026-05-07T15:15:19.556Z"
"30","14e83e00-7b14-4e8e-af83-3b29d7bc2167","TX_1778166919561_40B97EA2DFF1","ORG_WALLET_1778160275505_F41736F76EA9","ORG_WALLET_1778160275836_D546B4A6AA4D","ORG_3e4a83201e5b4f7dbdb74422","ORG_6cca990bda20451bb3b152ba","2.41","USD","CONFIRMED","2026-05-07T15:15:19.561Z"
"31","be5b9d04-e2b9-4c5e-b677-35e777ceb83d","TX_1778166919564_86DF8453949D","ORG_WALLET_1778160283624_66BCB921051C","ORG_WALLET_1778160279159_80BBBFF13FEC","ORG_3300234624e04d0cbe0a1413","ORG_8bc1abe06d03488889664f63","30.59","USD","CONFIRMED","2026-05-07T15:15:19.565Z"
"32","08872b46-4eef-4254-aa91-44161b3a40fd","TX_1778166919569_C15768430CAB","ORG_WALLET_1778160269455_E26051935907","ORG_WALLET_1778160281852_844849EF2828","ORG_631c51145ae141e2a709d288","ORG_3fd58db1eff04be0b03a5642","36.8","USD","CONFIRMED","2026-05-07T15:15:19.569Z"
"33","a82bdec2-c327-4ead-bc4c-254181d11240","TX_1778166919573_E73619CBAF33","ORG_WALLET_1778160269547_3BA2D4A87165","ORG_WALLET_1778160270578_5F67C563B639","ORG_08c99def34c34b7a943795e8","ORG_577fac19d1184e1da9dc121c","13.97","USD","CONFIRMED","2026-05-07T15:15:19.573Z"
"34","bcd37fee-eefb-451f-928d-b35e7336fbb9","TX_1778166919577_2DB3DEC2883B","ORG_WALLET_1778160274599_128BAE8501ED","ORG_WALLET_1778160281062_85389B0F8FB2","ORG_5d7ccd0921bf4a349d193ef4","ORG_37f71cc8ea3140579b5187c2","33.24","USD","CONFIRMED","2026-05-07T15:15:19.577Z"
"35","3a84c3f2-07eb-4cfb-acbf-12218250b47f","TX_1778166919581_26A347CA6871","ORG_WALLET_1778160272597_395AFF437375","ORG_WALLET_1778160277614_15833B79651A","ORG_27f72ecdd7eb4a9f89c477ac","ORG_f7b1a0494b744787b67b76a1","31.92","USD","CONFIRMED","2026-05-07T15:15:19.581Z"
"36","22654dc8-3c41-4f65-afc2-de9af1aa569b","TX_1778166919585_7839019CDA81","ORG_WALLET_1778160272512_224C2AE61622","ORG_WALLET_1778160279982_912AFF7751A5","ORG_826d10ed54ab49a0a02481cd","ORG_0516915df7d441f2b287f550","35.2","USD","CONFIRMED","2026-05-07T15:15:19.585Z"
"37","6e46bb84-9d4a-4db0-bd84-86ec2d5694d2","TX_1778166919590_5B72F1F4BEE0","ORG_WALLET_1778160269455_E26051935907","ORG_WALLET_1778160269239_48CD73B4012D","ORG_631c51145ae141e2a709d288","ORG_27d97e5a920d445294b83bef","11.46","USD","CONFIRMED","2026-05-07T15:15:19.590Z"
"38","ec69a3e1-d795-41c8-b88f-97a82c3319c2","TX_1778166919594_267A7A9223AD","ORG_WALLET_1778160273441_F81077FBB190","ORG_WALLET_1778160277118_C70DF08FF521","ORG_63cb10b5b1e5475fbd0d95a0","ORG_1ea32c1b16bc4f64adf2679b","44.21","USD","CONFIRMED","2026-05-07T15:15:19.594Z"
"39","ee0cb2c3-df9f-4732-890d-449b0d615ce6","TX_1778166919598_9915C20991F7","ORG_WALLET_1778160279159_80BBBFF13FEC","ORG_WALLET_1778160276576_57F1AE36B2AC","ORG_8bc1abe06d03488889664f63","ORG_bebd64d6740044d1bb3a41b9","24.05","USD","CONFIRMED","2026-05-07T15:15:19.598Z"
"40","6de725b9-b50f-480d-a3b6-ee4e52e5e7af","TX_1778166919602_0432C66E6365","ORG_WALLET_1778160276947_D26E37C2F505","ORG_WALLET_1778160274429_B7A0D258D0C2","ORG_a9a322e9d1e743aca1161f69","ORG_ee8a6761bdfa493095c2f4d2","11.33","USD","CONFIRMED","2026-05-07T15:15:19.602Z"
"41","05c472d7-c0aa-4a66-b9be-3b322bbe793e","TX_1778166919607_1CFE106274C8","ORG_WALLET_1778160279899_A1DC55243B7F","ORG_WALLET_1778160272340_1AE5D72A11D5","ORG_f41a9b9ed2d64ef599b8a9ac","ORG_85680328ba424fdb8c6f80c4","20.29","USD","CONFIRMED","2026-05-07T15:15:19.607Z"
"42","4f2e934a-f33b-4380-85a4-44140bd893d1","TX_1778166919612_104C66A65258","ORG_WALLET_1778160271252_67D918BA6E84","ORG_WALLET_1778160276494_506DC7CD27D4","ORG_f6d121503eec494299f9bf40","ORG_03290d8bceec4c578406b6ff","13.81","USD","CONFIRMED","2026-05-07T15:15:19.612Z"
"43","6e8e74cd-8209-4522-b7db-60aeb058d1cd","TX_1778166919616_812589C92A74","ORG_WALLET_1778160282372_B62DC72D41CD","ORG_WALLET_1778160276084_319BD1098BC9","ORG_390298c5f209426d9b91ea2b","ORG_91c22bc167784571b4372d04","13.34","USD","CONFIRMED","2026-05-07T15:15:19.616Z"
"44","8cfb9f00-e0c3-4816-9ac4-0f34ec814755","TX_1778166919620_9344FEF4C254","WALLET_1778070501985_A574CF7592927","ORG_WALLET_1778160273191_9F74EE690DA4","19","ORG_bfd0a100c1f54521bf3575d3","28.32","USD","CONFIRMED","2026-05-07T15:15:19.620Z"
"45","202e20a2-4464-4fb2-8e46-b7f26457709e","TX_1778166919625_C5FCDEF17D57","ORG_WALLET_1778160280145_1BD0EB49AB57","ORG_WALLET_1778160280478_74B6B9C7E314","ORG_13ab97a389df4a27bdd054a8","ORG_319431175959410eab0a0351","41.5","USD","CONFIRMED","2026-05-07T15:15:19.625Z"
"46","cea13d50-81ff-4483-8fbd-176aa2f7c8dd","TX_1778166919631_9FC6E9B7B9A2","ORG_WALLET_1778160273359_C48B3E1ED6E4","ORG_WALLET_1778160272427_347735F01EAC","ORG_be93a91b05f04b018a2cc595","ORG_95f1c8263eb9403fa7c10857","41.77","USD","CONFIRMED","2026-05-07T15:15:19.631Z"
"47","3ed7368b-ac03-4805-813c-97b979149d62","TX_1778166919635_D9AC0D4DCB6E","ORG_WALLET_1778160270327_6C4C9C272F9B","ORG_WALLET_1778160270244_8FA5322D5953","ORG_029c24335b3e47f1b1bfb215","ORG_2a4b739bfe4b4248b59c8c60","45.97","USD","CONFIRMED","2026-05-07T15:15:19.635Z"
"48","fbb8b649-afa2-47ad-81e1-c14c85ca5f49","TX_1778166919638_576204C695F6","ORG_WALLET_1778160280805_22EC8852FE9E","ORG_WALLET_1778160275178_6BFE22ABCAE0","ORG_d3f28c40555a4b4eb89e74ed","ORG_f8763b870e3945858dab1964","39.15","USD","CONFIRMED","2026-05-07T15:15:19.639Z"
"49","ee4d9c83-3ff3-4bbb-8248-107981f4b103","TX_1778166919643_CCA0B68C7E37","ORG_WALLET_1778160273275_19AD91E00789","ORG_WALLET_1778160283212_04E49AAB0147","ORG_f27a7bac46bf4ceb842fec9d","ORG_c11a6f2d78c941cea491491c","9.21","USD","CONFIRMED","2026-05-07T15:15:19.643Z"
"50","06ef05c9-f548-4144-addf-24e32de538a5","TX_1778166919647_4CD6305F6B5B","ORG_WALLET_1778160270744_5C3A6545AD72","ORG_WALLET_1778160274516_CEC24B06855F","ORG_4a6dba69e91e40eaae01a77f","ORG_cf3821c41c2a41c7a668fc65","9.48","USD","CONFIRMED","2026-05-07T15:15:19.647Z"
"51","708ca8e2-2ff1-4527-99e5-f4138f14fa6a","TX_1778166919652_3920403CF284","ORG_WALLET_1778160271086_EEFE4F412D2E","ORG_WALLET_1778160275753_082C4EAF7EAE","ORG_21f9c483dfae4315b138bac7","ORG_adf8170288c4481488d92098","35.21","USD","CONFIRMED","2026-05-07T15:15:19.652Z"
"52","0a6bffe8-b3e9-4fd9-9a88-21905042b018","TX_1778166919656_BDDB12DC58DA","ORG_WALLET_1778160269996_0B5992C7E17C","ORG_WALLET_1778160273850_0D5093565581","ORG_7fecdb9f77414f1e86f310d9","ORG_33b9e287d79e4e8c9fba6274","5.01","USD","CONFIRMED","2026-05-07T15:15:19.656Z"
"53","fbd9dab3-9f42-4a8c-b1e9-6dabf75aad20","TX_1778166919661_5DEC4C09DED6","ORG_WALLET_1778160274766_F1C3DC6076C5","ORG_WALLET_1778160283458_0920F8B3705D","ORG_20a1c457345d4a89afd74ee2","ORG_94651c45d31b407fad86b7ef","19.55","USD","CONFIRMED","2026-05-07T15:15:19.661Z"
"54","5cefaf3f-5f68-48a1-8e79-006322240234","TX_1778166919665_3850FB434CF6","ORG_WALLET_1778160270494_527614AD5ED1","WALLET_1778159049528_C73FC1C68B888","ORG_52501adb75e9456880834763","900477","47.26","USD","CONFIRMED","2026-05-07T15:15:19.665Z"
"55","7f684485-6ed5-438e-8caa-dc20aced47e7","TX_1778166919669_E7659F14C112","ORG_WALLET_1778160270744_5C3A6545AD72","ORG_WALLET_1778160275260_2FA5B71E69EF","ORG_4a6dba69e91e40eaae01a77f","ORG_36825afef0744860ab8035f2","48.15","USD","CONFIRMED","2026-05-07T15:15:19.669Z"
"56","40ece124-01dc-4f50-8223-3f2f189cbae4","TX_1778166919673_9FB706E323A9","ORG_WALLET_1778160282372_B62DC72D41CD","ORG_WALLET_1778160273104_AC5499EBB8DB","ORG_390298c5f209426d9b91ea2b","ORG_90b640dac1aa4692a7678e4e","32.26","USD","CONFIRMED","2026-05-07T15:15:19.673Z"
"57","4e071227-fc61-49dc-8b04-9b14c268b8d5","TX_1778166919677_9B05A7F0770F","WALLET_1778153631813_640BB05C64D8D","ORG_WALLET_1778160281399_E2C38644A950","629571","ORG_b11bbcf3ec4b4e0680428a05","2.16","USD","CONFIRMED","2026-05-07T15:15:19.677Z"
"58","e615e73b-157d-4ecf-9682-605d43ab5572","TX_1778166919680_9DFEA8774986","ORG_WALLET_1778160270916_58F7499D02AE","ORG_WALLET_1778160276669_B5FBDAD5E398","ORG_3b0c736419434cb3915d9406","ORG_9e23f808f3544113a4ba0620","39.47","USD","CONFIRMED","2026-05-07T15:15:19.680Z"
"59","03404774-7293-4c57-9289-b7c5aa2701b9","TX_1778166919685_E5B46F8F30DF","ORG_WALLET_1778160276947_D26E37C2F505","ORG_WALLET_1778160273191_9F74EE690DA4","ORG_a9a322e9d1e743aca1161f69","ORG_bfd0a100c1f54521bf3575d3","6.8","USD","CONFIRMED","2026-05-07T15:15:19.685Z"
"60","3b50f796-a967-4b49-b122-aa1ce2c85be8","TX_1778166919689_009413A5E27E","ORG_WALLET_1778160279899_A1DC55243B7F","ORG_WALLET_1778160275919_BDF031F0A6D4","ORG_f41a9b9ed2d64ef599b8a9ac","ORG_6e9b7fd7d6a84f5d89e1f07a","44.46","USD","CONFIRMED","2026-05-07T15:15:19.689Z"
"61","70daedf2-32b9-4628-a3b8-d8bd08796ef0","TX_1778166919694_06C57E563A5F","ORG_WALLET_1778160275589_C9E67150825E","ORG_WALLET_1778160276084_319BD1098BC9","ORG_63e743b83e9d4500b9679527","ORG_91c22bc167784571b4372d04","14.69","USD","CONFIRMED","2026-05-07T15:15:19.694Z"
"62","11266598-dc28-4296-8841-fd37775aa222","TX_1778166919698_2F9F11A70DF5","ORG_WALLET_1778160273021_441FA524915E","ORG_WALLET_1778160280063_AAF51069402B","ORG_a71d85d229504155adb16888","ORG_9ebccad56d8746aba1f28a74","48.79","USD","CONFIRMED","2026-05-07T15:15:19.698Z"
"63","ab7aafa9-1003-4bf0-b19f-fbdc46997aca","TX_1778166919702_173071F68AF9","ORG_WALLET_1778160274098_0A5EF90FB47E","ORG_WALLET_1778160281062_85389B0F8FB2","ORG_a73b423c03aa4e7da5788a37","ORG_37f71cc8ea3140579b5187c2","2.14","USD","CONFIRMED","2026-05-07T15:15:19.702Z"
"64","74b192b3-1fb7-4f4f-95b4-b068ebac50f9","TX_1778166919706_345C452DA80E","ORG_WALLET_1778160280805_22EC8852FE9E","ORG_WALLET_1778160273932_CA183A14D77D","ORG_d3f28c40555a4b4eb89e74ed","ORG_8a0e365a49bf4ed392152198","26.79","USD","CONFIRMED","2026-05-07T15:15:19.706Z"
"65","8f9f9b4e-a2a5-4e1c-b2ff-44f5fdb21896","TX_1778166919710_30680CD20806","ORG_WALLET_1778160279570_C6CB51444C14","ORG_WALLET_1778160281940_C938801D48CF","ORG_f4a88f302b404a3d88306ab9","ORG_db20c1255ff54714bcf79451","20.64","USD","CONFIRMED","2026-05-07T15:15:19.710Z"
"66","604ae511-0ddb-4298-982b-e83fb2ee6479","TX_1778166919714_517874FCAC20","ORG_WALLET_1778160281587_7507D0163D18","ORG_WALLET_1778160269819_4C4BAD6CD589","ORG_0130bc4c8a4f483db60b9a07","ORG_bbc3a46f4c964cf397cfedac","27","USD","CONFIRMED","2026-05-07T15:15:19.714Z"
"67","1e461729-7944-4468-8f4a-c320796fcc85","TX_1778166919718_57851C419C16","ORG_WALLET_1778160269142_CB003D9B2929","ORG_WALLET_1778160282284_EC6234CEFA04","ORG_288825f92b7e403785420727","ORG_5b9400e661504c4f968243c0","13.95","USD","CONFIRMED","2026-05-07T15:15:19.718Z"
"68","a7caac1d-e170-4c13-a8dc-004f2139c62d","TX_1778166919721_0573DAA89594","ORG_WALLET_1778160274850_C8FA65D01C69","ORG_WALLET_1778160269996_0B5992C7E17C","ORG_9334ac8c5d4b490fa13c098f","ORG_7fecdb9f77414f1e86f310d9","1.82","USD","CONFIRMED","2026-05-07T15:15:19.721Z"
"69","6458070f-c96a-48a5-b7f8-198e4639da96","TX_1778166919725_97767A5324D1","WALLET_1778067145106_5F898D69F5F79","ORG_WALLET_1778160281146_B8874C5AC610","15","ORG_ae90e61e64ff48a089d9a554","26.7","USD","CONFIRMED","2026-05-07T15:15:19.725Z"
"70","9b103752-2ce4-426a-a0a4-7a7860731cc8","TX_1778166919729_FB1A9115D05F","ORG_WALLET_1778160270744_5C3A6545AD72","WALLET_1778160871693_0EA008B15BECE","ORG_4a6dba69e91e40eaae01a77f","900478","41.4","USD","CONFIRMED","2026-05-07T15:15:19.729Z"
"71","95e90e3e-8d94-43e3-96ee-c24550f04f76","TX_1778166919733_EC46E2AEDC81","ORG_WALLET_1778160269455_E26051935907","ORG_WALLET_1778160272254_7495A0C77CC7","ORG_631c51145ae141e2a709d288","ORG_69dea77248dd439b8f15d0cd","23.4","USD","CONFIRMED","2026-05-07T15:15:19.733Z"
"72","7998fd33-cce1-49da-a644-54934830a6fd","TX_1778166919736_830E0B83FD7D","ORG_WALLET_1778160276494_506DC7CD27D4","ORG_WALLET_1778160273104_AC5499EBB8DB","ORG_03290d8bceec4c578406b6ff","ORG_90b640dac1aa4692a7678e4e","34.5","USD","CONFIRMED","2026-05-07T15:15:19.736Z"
"73","f908597f-710a-4127-a014-e2af5c94b236","TX_1778166919740_FBA2D9597849","ORG_WALLET_1778160278483_35C5D56EB87C","ORG_WALLET_1778160274180_D68BEDEE7D6D","ORG_324af165c31348f89951e21f","ORG_edd410705d74447cbf477a86","7.18","USD","CONFIRMED","2026-05-07T15:15:19.740Z"
"74","1bb74dbd-5b5a-49a8-a135-89d969c9de1c","TX_1778166919744_221F4DFFBBAD","ORG_WALLET_1778160270494_527614AD5ED1","ORG_WALLET_1778160281587_7507D0163D18","ORG_52501adb75e9456880834763","ORG_0130bc4c8a4f483db60b9a07","17.36","USD","CONFIRMED","2026-05-07T15:15:19.744Z"
"75","4bd1ddad-a401-4607-9b7c-1095b019271d","TX_1778166919747_270057040BDF","ORG_WALLET_1778160269059_6971AFBA84D6","ORG_WALLET_1778160277365_03FDBA4E2E67","ORG_2da30634595b4a878b928a3b","ORG_4630e3b4b65b4eda89b6f23b","21.11","USD","CONFIRMED","2026-05-07T15:15:19.747Z"
"76","269fe6c3-43c8-4b17-a875-bedb8ff32a71","TX_1778166919750_ED0A49994F5D","ORG_WALLET_1778160283458_0920F8B3705D","ORG_WALLET_1778160279405_6EA22C73E2BE","ORG_94651c45d31b407fad86b7ef","ORG_02818d54afb548d3ab4e4a7c","9.94","USD","CONFIRMED","2026-05-07T15:15:19.750Z"
"77","fb047669-ba80-412d-9534-bf3020901fc8","TX_1778166919755_E998B9DE23B5","ORG_WALLET_1778160274346_C1801622C4F1","ORG_WALLET_1778160277199_E35225A60825","ORG_eb4457964c8e4d2c85073cbc","ORG_27c30d81ee7a4fb88450f457","18.7","USD","CONFIRMED","2026-05-07T15:15:19.755Z"
"78","2bf4727f-fbc3-4e91-b163-0ead7cb68298","TX_1778166919759_BD9CAB27CA2A","ORG_WALLET_1778160278746_7064FF0F96E8","WALLET_1778139950788_F2A29AB7B72B7","ORG_7cd6695ce0d64ff3815c79cb","21","15.94","USD","CONFIRMED","2026-05-07T15:15:19.759Z"
"79","e8789e9b-8818-44d3-8da3-50a36273d62d","TX_1778166919762_42602EB64373","ORG_WALLET_1778160282372_B62DC72D41CD","ORG_WALLET_1778160277199_E35225A60825","ORG_390298c5f209426d9b91ea2b","ORG_27c30d81ee7a4fb88450f457","36.68","USD","CONFIRMED","2026-05-07T15:15:19.762Z"
"80","67262ac4-5cb3-41f3-8bd1-7eb79faedfe5","TX_1778166919765_3C88D5E3DC4E","ORG_WALLET_1778160282795_9C53EAE8B868","ORG_WALLET_1778160280063_AAF51069402B","ORG_5c4beb22cfcd447399663e8d","ORG_9ebccad56d8746aba1f28a74","3.38","USD","CONFIRMED","2026-05-07T15:15:19.765Z"
"81","6a7a9ba0-db70-46b1-97c1-4299e60af27d","TX_1778166919768_61A9ED5817BB","ORG_WALLET_1778160281672_AC2B16ED3152","ORG_WALLET_1778160280975_445C3B87B0E4","ORG_ca5644b10bba4f4bb4d442cd","ORG_7afe70881d4b4bf698b08a22","49.76","USD","CONFIRMED","2026-05-07T15:15:19.768Z"
"82","91fbe58f-0f74-43fa-814f-ed89d9fe1fcc","TX_1778166919772_6C50F89CAC7A","ORG_WALLET_1778160272512_224C2AE61622","ORG_WALLET_1778160278386_D640F5E98EC7","ORG_826d10ed54ab49a0a02481cd","ORG_ab9877b6b83245749a5629bb","40.6","USD","CONFIRMED","2026-05-07T15:15:19.772Z"
